hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#96ded1,150,222,209,9.4G 8.5/5.5,9.4,G,8.5,5.5,153,221,204,8.8G 8.3/5.1,8.8,G,8.3,5.1,0.60,0.20,0.40,5.9
#66ada4,102,173,164,10G 6.5/5.8,10,G,6.5,5.8,102,170,170,4.8BG 6.4/5.0,4.8,BG,6.4,5.0,4.80,0.10,0.80,6.7
#317873,49,120,115,4.2BG 4.5/4.6,4.2,BG,4.5,4.6,51,119,119,4.3BG 4.5/4.9,4.3,BG,4.5,4.9,0.10,0.00,-0.30,4.6
#004b49,0,75,73,3.8BG 2.8/4.6,3.8,BG,2.8,4.6,0,68,68,3.7BG 2.5/4.5,3.7,BG,2.5,4.5,0.10,0.30,0.10,8.6
#002a29,0,42,41,9.9G 1.3/2.3,9.9,G,1.3,2.3,0,34,34,3.0BG 1.1/3.0,3,BG,1.1,3.0,3.10,0.20,-0.70,10.6
#0085a1,0,133,161,4.7B 5.0/6.9,4.7,B,5.0,6.9,0,136,153,9.8BG 5.1/6.7,9.8,BG,5.1,6.7,4.90,-0.10,0.20,8.5
#239eba,35,158,186,3.7B 5.9/7.8,3.7,B,5.9,7.8,34,153,187,4.2B 5.8/7.3,4.2,B,5.8,7.3,0.50,0.10,0.50,5.2
#007791,0,119,145,9BG 4.5/6.5,9,BG,4.5,6.5,0,119,153,5.0B 4.5/6.7,5,B,4.5,6.7,6.00,0.00,-0.20,8.0
#2e8495,46,132,149,10BG 5.0/5.7,10,BG,5.0,5.7,51,136,153,0.4B 5.2/5.7,0.4,B,5.2,5.7,0.40,-0.20,0.00,7.5
#9cd1dc,156,209,220,2B 8.1/3.9,2,B,8.1,3.9,153,204,221,2.0B 7.9/4.0,2,B,7.9,4.0,0.00,0.20,-0.10,5.9
#66aabc,102,170,188,1B 6.5/5.1,1,B,6.5,5.1,102,170,187,1.1B 6.5/5.1,1.1,B,6.5,5.1,0.10,0.00,0.00,1.0
#367588,54,117,136,1.1B 4.5/4.9,1.1,B,4.5,4.9,51,119,136,1.1B 4.6/4.9,1.1,B,4.6,4.9,0.00,-0.10,0.00,3.6
#004958,0,73,88,1.3B 2.8/4.6,1.3,B,2.8,4.6,0,68,85,2.2B 2.6/4.2,2.2,B,2.6,4.2,0.90,0.20,0.40,5.8
#002e3b,0,46,59,4.6B 1.5/3.6,4.6,B,1.5,3.6,0,51,51,3.4BG 1.8/3.8,3.4,BG,1.8,3.8,11.20,-0.30,-0.20,9.4
